,Name,Longitude,Latitude,CO2 (mg C m¯² d¯¹),CH4 (mg C m-2 d-1),CO2 (g/kWh),CH4 (g/kWh),Area / Electricity,Area,Age,Erosion,Tmax,Tmean,Tmin,Volume,Volume / Area,orgC,NPP
119,Serra da Mesa,-48.33333333,-13.85,358.9,NA,63.90139175,NA,0.133037037,898,1,105.0259379,32.6,25.1,17.1,54.4,0.060579065,0.819999993,688.072876
120,Serra da Mesa,-48.33333333,-13.85,175.1,NA,61.93576672,NA,0.264296296,1784,5,105.0259379,32.6,25.1,17.1,54.4,0.030493274,0.819999993,688.072876
121,Serra da Mesa,-48.33333333,-13.85,652.6,NA,116.1940603,NA,0.133037037,898,6,105.0259379,32.6,25.1,17.1,24.3,0.027060134,0.819999993,688.072876
122,Serra da Mesa,-48.33333333,-13.85,719.9,NA,128.1766841,NA,0.133037037,898,6,105.0259379,32.6,25.1,17.1,24.3,0.027060134,0.819999993,688.072876
123,Seven Mile,-120.4,55.96666667,-199.4,109.5,NA,0.0666125,0.00125,4,23,1.975705445,21.9,1.4,-20.7,NA,NA,3.86500001,476.8244019
124,Seven Sisters Falls,-96,50.11666667,1357.9,NA,38.54927222,NA,0.021212121,21,71,1.837721066,25,2.2,-23.3,NA,NA,21.75699997,551.7069092
125,Shasta,-122.3833333,40.85,340.1,47,16.83213516,0.845858547,0.036980117,77,60,1.609054492,35.3,14.8,0.6,5.8,0.075324675,1.516000032,441.399292
126,Sihl,8.8,47.13333333,125.5,0.2,7.302644928,0.004231884,0.043478261,11,70,13.4914268,19.9,6.6,-4.6,0.1,0.009090909,5.145166596,538.8275146
127,Skellefte,20.68333333,64.5,24.5,NA,11.62736149,NA,0.354609851,817,70,0.04285103,20.1,1.6,-15.5,NA,NA,8.462200165,523.3828735
128,Skinuddselet,18.43333333,63.98333333,298.6,NA,NA,NA,NA,27,15,2.120431966,19.6,1.1,-16.4,170,6.296296296,5.790299892,524.7521973
129,Slave Falls,-95.56666667,50.21666667,280.4,NA,5.030989134,NA,0.013406366,7,35,0.051521617,25,2,-23.6,NA,NA,1.559999943,23.66084554
130,Stave Lake,-122.2833333,49.33333333,164.2,NA,503.5893333,NA,2.291601379,1170,91,0.570947149,23.3,9.1,-2,0.4,0.00034188,2.520888938,577.0640259
131,Tiger Cat Dam (google maps),-91.24277778,46.02972222,60,11,NA,NA,NA,3,60,2.50788863,26.3,4.1,-19.9,NA,NA,2.017999887,547.5888062
132,Toulnoustouc,-68.38333333,50.1,379.9,0.1,NA,NA,NA,235,46,0.156985803,20.2,-1.4,-25.1,NA,NA,1.883000016,573.2210083
133,Tres Marias,-45.25,-18.23333333,-38.7,205,NA,48.75814536,0.488721805,1040,45,0.781941858,30.8,22.8,12.2,21,0.020192308,1.383999944,730.4796753
