Model,model_present_ch4_diff,model_ch4,model_present_co2_diff,model_co2
ssp585,0.305310408,1.795537525,-6.895368111,116.1000867
ssp585,5.027740045,23.82451778,0.315660484,91.54373099
ssp585,5.812169246,11.06575388,3.456143299,217.7689818
ssp585,5.662269523,25.50166235,22.24795988,433.3774924
ssp585,0.085591819,1.97642114,-50.16943908,134.2593961
ssp585,-0.46004342,2.441650829,13.79274979,259.004663
ssp585,-11.49641352,25.12244153,204.0789812,617.4701869
ssp585,15.10790903,23.88309218,214.0852268,636.8616266
ssp585,-1.237498659,1.651460574,66.39438718,185.668806
ssp585,3.224646646,29.13263067,382.2111347,456.201528
ssp585,0.241260876,1.538670205,27.00310385,221.1161002
ssp585,0.187187054,1.74011901,-18.69720749,115.9170345
ssp585,6.409101115,16.90835445,18.44936616,80.53847705
ssp585,-0.312385585,1.584798839,-183.6818388,267.1300076
ssp585,3.061365193,4.887738656,-16.68806995,113.9532509
ssp585,-0.007936266,0.835355802,2.596253557,366.6823533
ssp585,3.781731392,16.43951677,60.16010591,116.666324
ssp585,7.248872151,17.2892627,22.64277394,432.3796745
ssp585,-0.267346563,1.537310537,-79.52904027,420.5343483
ssp585,7.479815946,27.45997009,140.9113987,325.225985
ssp585,7.113795047,27.39389485,391.4887511,636.8576709
ssp585,-0.661952579,20.65655826,198.9756508,453.283154
ssp585,0.126785809,4.406437662,1.915064763,209.4247284
ssp585,0.80375396,1.410369908,-111.7905235,214.0812661
ssp585,0.037263206,0.7550963,-33.95858882,258.877337
ssp585,8.62765871,23.33608801,24.19552322,56.78149666
ssp585,0.813996615,2.824597624,71.64282014,302.7471784
ssp585,6.328269736,26.34277997,57.10931509,249.770259
ssp585,19.22636513,22.47812788,51.27937713,161.8075069
ssp585,0.904560773,2.228369356,11.52994441,261.736605
ssp585,12.43988794,37.29979993,162.1441269,578.8352293
ssp585,3.557694805,25.36955455,-3.005151086,51.32096407
ssp585,2.020568915,15.54476825,88.46758298,233.0861946
ssp585,3.784133075,6.741277586,-3.11873203,115.5501223
ssp585,4.193652428,7.153294228,-6.139261128,120.1069653
ssp585,23.35270171,66.49228046,-1.7067186,224.9100957
ssp585,14.80994559,25.70124368,82.20030104,233.9823356
ssp585,0.875718127,22.02110219,63.89062963,156.9552102
ssp585,-0.835699366,2.035700331,-16.13109295,241.5529921
ssp585,0.432238636,7.277640153,121.5607689,191.4552172
ssp585,0.276773966,13.62521228,166.7949197,423.9200774
ssp585,3.943669489,28.27016362,5.401342262,61.95425509
ssp585,-0.846600501,0.776537692,-239.7627434,203.7434744
ssp585,0.636622621,2.111850415,-74.16018279,296.2569365
ssp585,0.909764699,6.988324087,29.0569215,138.7484448
ssp585,6.841887905,20.07810258,142.3076983,261.0973284
ssp585,-1.359715666,1.943139351,-79.81362926,114.1266319
ssp585,-0.12394535,1.522117084,-17.03767831,355.5779225
ssp585,1.350600632,2.618582123,-72.62270778,135.8252422
ssp585,-0.01937675,4.429481411,10.1672487,141.9710426
ssp585,0.203207094,10.77562044,26.9797956,58.84913448
ssp585,0.747873362,22.09387848,24.68675153,56.30411486
ssp585,0.177003007,4.145681205,29.15437388,139.2100497
ssp585,-0.623153372,16.26649961,245.2164515,932.2854965
ssp585,0.27865385,7.370393733,40.83944678,118.7939616
ssp585,-0.082920249,1.560922916,-96.29469283,152.6982805
ssp585,5.054915374,10.03518831,94.53092918,238.9510975
ssp585,1.63807553,7.997802562,57.70112783,249.3991646
ssp585,0.411845262,21.78736401,26.30529577,57.94862866
ssp585,1.276460181,8.218525515,-14.26435207,104.0920113
ssp585,7.520226643,42.84276211,172.8674466,618.2675387
ssp585,11.72308028,28.54919204,-43.2476822,99.08306925
ssp585,-0.007830368,2.566475169,0.776492818,488.0378243
ssp585,4.638122969,9.480220664,90.86217004,232.1135949
ssp585,-1.429665199,24.58370181,25.95897237,250.5107936
ssp585,3.440684376,24.39037545,16.28194768,227.1968315
ssp585,-0.10776331,1.578600335,-10.66052296,359.9588149
ssp585,14.18769074,22.83473635,-0.996112572,96.88335906
ssp585,5.793865801,10.03660587,-21.77357159,122.7421442
ssp585,-0.369983074,92.60242695,-25.75495493,240.49284
ssp585,11.4682994,19.99201076,-21.21419679,292.8343857
ssp585,-2.074254705,3.480640654,-0.355371799,111.1336717
ssp585,8.089849297,20.27617147,10.99321325,144.9100283
ssp585,-2.451049814,12.22742636,292.9626639,462.8134948
ssp585,3.880279857,19.81189183,-0.03471719,31.11917981
ssp585,-0.167756696,1.728135399,-60.3645226,120.9809842
ssp585,12.97509932,18.35904614,-3.538710086,120.4723436
ssp585,9.095617333,31.67981287,209.1879506,292.8558486
ssp585,3.614526083,30.20261597,375.1156231,433.6340793
ssp585,2.071563804,18.4791147,109.131688,249.2143113
ssp585,-1.000473404,1.27189862,1.674020708,390.0128538
ssp585,-1.136080594,1.456347486,-79.87514753,128.321806
ssp585,10.81750305,27.17512835,12.40599962,231.312877
ssp585,2.2036529,24.79067824,47.07270634,629.4626844
ssp585,-0.126360622,1.6526696,-56.9001524,432.9334605
ssp585,0.215325152,7.491199421,9.776458364,141.104274
ssp585,6.173107916,9.324088073,19.83772303,382.6535536
ssp585,-0.003107196,21.26226927,172.5309954,604.1477399
ssp585,2.649811295,10.8159759,1.251801716,68.28566516
ssp585,11.9821676,35.41546718,283.3143405,606.6748222
ssp585,0.515819155,2.06000451,-47.71166224,137.4205375
ssp585,-0.000198259,1.078424479,-1.124418458,199.5629355
ssp585,-0.08518827,1.524063603,-5.791055282,277.0834969
ssp585,34.65294222,45.34764379,176.0634471,327.3019509
ssp585,-0.897104904,13.70198766,294.4643454,526.5169811
ssp585,-0.049443049,1.017584976,-119.5196119,255.0089991
ssp585,8.469953219,29.21833636,292.1071156,649.6873157
ssp585,-0.906289174,14.6558341,310.0325263,775.1560783
ssp585,2.557728022,4.020858721,-4.472643139,115.4020488
ssp585,0.396623233,1.757274987,-0.372588123,178.6375432
ssp585,-1.357408575,13.82289385,-0.042666621,31.21643939
ssp585,1.221541132,7.986344915,-3.90405216,118.1010906
ssp585,3.995085523,15.81206098,-6.927188121,693.4774789
ssp585,1.664576158,7.801738484,15.97563135,48.11259832
ssp585,6.767055687,11.88233194,-0.407682817,266.2411699
ssp585,0.170403378,7.998023093,5.359476558,147.4148835
ssp585,0.18859615,7.952560212,4.488301132,149.4367903
ssp585,-0.016581404,1.255247153,0.358361823,683.7306622
ssp585,-0.171485212,1.562989097,-171.6385598,221.1563969
ssp585,5.450838229,24.66763381,18.64313527,50.42789144
ssp585,1.794510296,14.73657269,-0.192418663,31.52980537
ssp585,-0.273711439,0.754881273,-72.94887898,349.6727889
ssp585,1.401995596,14.33600273,40.42871047,438.3315195
ssp585,5.511837534,8.330406374,2.5696076,99.80685953
ssp585,1.106084823,3.914342697,15.02461876,210.0340307
ssp585,2.560223857,10.20587788,-45.04990562,96.01701593
ssp585,0.964546984,6.961488536,64.7414621,140.9552753
ssp585,0.7091106,10.51379711,179.1728373,324.9369212
ssp585,0.463910972,14.20031149,43.7433144,154.8652131
ssp585,0.696272698,6.890092065,56.76388618,138.3178749
ssp585,0.571228684,1.86886352,-1.884547861,182.925043
ssp585,3.106643884,5.594254918,7.220691444,136.2525755
ssp585,0.10064464,0.954405369,-64.83453525,257.894187
ssp585,1.748071801,13.63241608,35.99181931,97.34429159
ssp585,25.22843565,46.33832942,33.36394466,179.06764
ssp585,0.049298639,3.703499186,-5.297787454,119.9456381
ssp585,0.753521929,7.574033523,12.15194124,76.78129662
ssp585,2.933743437,4.813471192,-5.501547125,116.8084639
ssp585,1.822869806,8.036224664,-12.8795294,50.57306333
ssp585,7.302255683,34.96665817,81.44773004,395.5521208
ssp585,4.088651602,22.07441408,-0.216787395,31.33066019
ssp585,0.088316772,8.702680635,-0.034059324,31.19213603
ssp585,7.885067122,12.91749599,-2.675570235,211.8042524
ssp585,5.062468676,30.68994071,166.5626565,655.844002
ssp585,11.60387535,22.00921242,-22.04851338,127.1871082
ssp585,-0.07982681,1.378836512,-1.828312842,215.3877327
ssp585,8.887750247,22.9424923,28.00248914,663.3428913
ssp585,5.888990936,29.31498105,452.5737446,559.1297591
ssp585,-0.146620502,22.37789165,36.94336212,119.664999
ssp585,0.937522246,7.264443288,20.30483643,138.0297127
ssp585,-0.114728721,1.892401785,-67.65232555,102.3987619
ssp585,16.24667879,27.8109754,-2.873050637,98.63923309
ssp585,10.59491108,28.13886018,5.114080318,78.75225512
ssp585,0.116565581,8.11126625,4.205047263,148.7004216
ssp585,3.81136653,15.72329894,-26.68871215,197.4159606
ssp585,-0.609256852,20.8954809,112.6182617,444.8703688
ssp585,19.2905592,64.91429774,-4.61297552,168.7358544
ssp585,0.537325134,10.91342863,299.4851523,441.666195
ssp585,16.64983217,40.66349873,7.922790255,733.0127147
ssp585,0.501134946,1.296823971,-0.827109944,217.8351585
ssp585,5.520590564,8.914853806,12.30301438,210.4584875
ssp585,-11.15922368,25.69270072,42.50557308,644.283511
ssp585,-3.014031722,27.97352836,399.6231023,546.3488249
ssp585,0.14165028,7.964795289,5.494574062,145.2367518
ssp585,21.82632181,46.14095635,132.0545033,578.87841
ssp585,1.154848383,21.79772332,198.0976282,328.4544266
ssp585,5.18687724,7.48415235,-6.850867706,126.6248183
ssp585,0.001402598,12.05607238,-0.022139003,406.6969616
ssp585,-0.82204107,88.21757135,-1.437136037,244.0870198
ssp585,5.982569144,29.36187053,471.5953256,560.6413939
ssp585,0.102804107,2.240930526,15.33742397,118.8122077
ssp585,4.546697023,9.627710229,88.49455719,229.9574595
ssp585,-0.478366196,11.43135944,266.5768964,395.3714862
ssp585,20.51486647,36.45964968,254.0817844,382.5603561
ssp585,1.127492199,34.14590509,530.0995836,650.0291748
ssp585,2.553552555,19.63471036,47.03565766,230.042163
ssp585,12.0490457,36.37645341,192.2411378,451.261961
ssp585,8.021053939,22.19223462,59.43317772,156.5122842
ssp585,0.105520966,3.863061881,86.54638355,194.7003327
ssp585,11.65235604,21.03789367,-20.44297312,302.9476176
ssp585,-8.125224801,18.11474254,361.6421149,617.2943988
ssp585,1.60130847,4.600754918,-2.966004691,99.4305417
ssp585,1.400807814,14.29248779,-0.140311746,31.24967651
ssp585,1.114762763,9.751667405,60.96887821,236.3040779
ssp585,5.410685621,14.84583985,94.1202944,207.8554181
ssp585,-0.084906775,3.170124135,-84.00844277,124.1397996
ssp585,3.045835859,28.63368101,273.5590414,326.099317
ssp585,1.734382657,3.17131065,-16.11852874,253.311207
ssp585,7.682879465,23.38218146,22.88551839,54.11198089
ssp585,6.980547044,27.69397793,206.2575841,615.4508498
ssp585,7.118076303,18.40579071,15.60388977,432.1897296
ssp585,-0.076050796,1.90673416,-150.3833845,120.5564329
ssp585,0.364792904,2.245192988,88.36471712,288.5726809
ssp585,14.79190725,36.076774,177.6988361,436.9931418
ssp585,1.907809357,12.94055219,8.32923836,391.52767
ssp585,5.106776558,10.24950915,89.7574866,236.1895633
ssp585,1.860544792,9.360820132,0.591741563,50.1036459
ssp585,5.632303126,32.59128486,112.5454578,274.3535874
ssp585,5.480242198,23.94869004,212.4288683,633.4545018
ssp585,-0.16524841,1.639131807,72.82383928,266.6774991
ssp585,6.30783287,9.179525297,91.75752966,204.9609129
ssp585,0.708392273,2.466816831,-2.755755003,298.532478
ssp585,13.75717119,24.33880614,-4.950814523,127.9460764
ssp585,1.654008412,3.669116636,-0.685271805,183.9956145
ssp585,0.415927551,1.883249006,-11.69347737,243.6217009
ssp585,7.910864972,24.2919328,140.1452724,325.3396469
ssp585,5.619092389,28.55961668,40.1315663,99.26260582
ssp585,-0.036325412,1.420033479,-81.27056812,134.1570528
ssp585,6.298517242,14.84248704,206.738171,427.9826447
ssp585,20.41312418,23.47512883,-10.5693022,116.153976
ssp585,1.697493816,16.20120911,164.6624684,313.4539306
ssp585,-2.318892073,32.72907587,159.5301954,418.4875674
ssp585,2.651364901,21.88158648,33.14226094,254.8893148
ssp585,1.900147834,13.36336985,-0.041111883,31.18184887
ssp585,4.02454822,20.31061969,-0.059006878,31.00231699
ssp585,-0.902586511,13.77225824,313.535573,503.2290959
ssp585,-0.305057205,3.084897697,-44.75777295,103.6675901
ssp585,2.519474628,45.02647433,138.2748378,593.0792063
ssp585,0.143913711,8.151183762,15.45600289,46.5476454
ssp585,1.770074389,25.40041848,74.45191866,166.9452211
ssp585,0.826494905,6.975257027,1.185328966,78.90886322
ssp585,7.493641336,34.11105745,501.6965318,618.2682574
ssp585,-0.20297542,1.651776649,-71.27199801,120.1912713
ssp585,-0.171603352,1.511044697,-75.69540425,258.4174919
ssp585,2.369948713,4.981877201,154.3282228,389.1276666
ssp585,4.927634534,28.94689755,247.829606,578.1980258
ssp585,0.879579075,7.230767004,15.48922944,111.5186275
ssp585,2.652158103,12.13062887,7.945212315,69.92861828
ssp585,-2.608995125,23.3717284,224.205759,651.8944851
ssp585,14.50973059,34.08653065,91.88812985,325.5814114
ssp585,2.781605379,23.01998531,162.8534548,415.526616
ssp585,0.482571975,10.28121302,0.366982046,31.02077572
ssp585,5.467421802,21.102131,5.66864559,126.9875608
ssp585,-1.339008374,1.710321184,-2.132487116,186.5632729
ssp585,3.893467931,9.914999432,17.04472752,50.28607154
ssp585,-0.364232919,1.469443469,-80.71340741,122.8177468
ssp585,1.244215805,3.143697106,-2.532993243,275.5971321
ssp585,-1.329233607,21.70879881,61.76353421,93.21859367
ssp585,8.009396232,25.79730988,84.98463733,211.9121641
ssp585,3.427943813,11.5514345,29.70115936,138.4078075
ssp585,1.635954069,15.56711414,79.35326966,327.4189122
