LONG_DD,LAT_DD,pres_co2,ssp126_co2,ssp585_co2,ssp126_minus_pres_co2,ssp585_minus_pres_co2,pres_ch4,ssp126_ch4,ssp585_ch4,ssp126_minus_pres_ch4,ssp585_minus_pres_ch4
-84.347917,46.50625,86.38226449,92.84992884,94.69373766,6.467664352,8.311473167,7.065630079,7.171189198,7.354165805,0.105559119,0.288535727
-71.717438,43.598524,218.2895231,216.9155722,217.040133,-1.373950841,-1.249390112,1.544135838,1.48091667,1.460338155,-0.063219168,-0.083797684
-80.09409,35.420237,127.9090637,209.1510186,125.6701109,81.24195499,-2.238952789,4.159962864,4.188693933,9.933804831,0.028731068,5.773841967
-86.617997,36.155261,259.4123378,261.1758044,590.6557506,1.763466593,331.2434128,22.05323807,22.82661181,35.63186178,0.773373734,13.57862371
-84.132975,44.660548,147.1833648,148.0419387,148.0918742,0.858573904,0.908509378,3.406875533,3.304201377,3.68876651,-0.102674156,0.281890977
-68.782535,45.634125,121.9697916,148.0432054,227.9189464,26.07341386,105.9491549,6.754345322,6.901749746,4.374202689,0.147404424,-2.380142634
-68.40812,45.570528,442.9758228,411.6031277,281.2567294,-31.37269515,-161.7190934,1.731516526,1.551628397,1.477739167,-0.179888129,-0.253777359
-93.716351,34.149561,218.2213251,219.8981006,420.3745969,1.676775461,202.1532717,24.60800517,25.70165407,26.69674911,1.093648905,2.088743937
-120.888188,38.304594,188.1546894,248.7609467,464.805966,60.60625728,276.6512766,20.43461127,20.9774889,24.85932456,0.542877624,4.42471329
-83.441089,42.213393,101.7706933,103.6211389,104.6543467,1.850445642,2.883653373,3.370464544,3.771508083,3.826786185,0.401043539,0.45632164
-85.621457,35.801042,203.2611762,120.7588823,118.1694251,-82.50229387,-85.09175106,3.866652252,3.905958228,5.234904393,0.039305976,1.36825214
-80.028689,36.782001,214.0257505,216.864589,219.1098553,2.838838474,5.084104723,15.89636883,16.54116434,25.82970993,0.644795514,9.933341105
-83.441378,44.435318,178.2528203,178.7579126,188.7514566,0.505092296,10.49863628,3.281740887,3.174376632,3.56536495,-0.107364254,0.283624063
-118.452968,34.107268,99.22221412,100.1945573,101.546604,0.972343142,2.324389908,7.136736687,7.193270378,9.623066358,0.056533691,2.486329671
-78.238542,43.326052,246.4531002,190.6639164,175.5474014,-55.78918381,-70.90569882,1.814136083,1.728180026,1.643944113,-0.085956057,-0.17019197
-91.511917,44.828699,327.995831,196.8867577,192.9417476,-131.1090733,-135.0540833,3.028962727,2.960948663,2.896603389,-0.068014064,-0.132359338
-82.919421,34.961163,431.5481183,440.3649304,438.3609202,8.816812058,6.812801892,28.65135469,24.09498974,23.63978916,-4.556364948,-5.011565536
-82.121993,36.3216,212.8422085,214.8359396,217.9274819,1.993731109,5.08527339,7.67865095,7.875240113,11.40085021,0.196589163,3.722199256
-122.333846,45.965919,299.0037073,230.1085351,230.924788,-68.89517222,-68.07891933,4.165469659,10.87248633,12.22085671,6.707016667,8.055387054
-116.997745,48.178294,99.00119933,179.3280178,197.8533561,80.32681851,98.85215675,9.730911944,12.32721786,13.3183981,2.596305912,3.587486151
-76.863764,42.901566,403.6366658,403.6342526,403.6452764,-0.002413264,0.008610587,12.21689785,12.22453217,6.496927665,0.007634324,-5.719970184
-97.786268,30.295339,91.30774461,94.56040096,98.33463772,3.252656348,7.026893109,20.82238539,21.22446143,21.58282411,0.402076038,0.760438716
-85.82558,36.096527,216.1474936,218.1660927,424.906656,2.018599129,208.7591624,8.665086742,8.920919497,15.13383755,0.255832755,6.468750809
-121.144792,40.115902,133.5000181,192.8110298,195.229207,59.31101164,61.72918888,2.128515038,2.21418916,2.330740521,0.085674122,0.202225483
