Model,model_present_ch4_diff,model_ch4
ssp585,197.6708545,825.3557085
ssp585,-4.879639615,1.739845805
ssp585,-6.589455371,2.376465859
ssp585,1382.571351,2005.867104
ssp585,313.2428259,1623.557616
ssp585,-0.587889041,3.179742269
ssp585,6.703549842,103.2116975
ssp585,156.7933599,170.8445648
ssp585,-0.383664684,1140.076795
ssp585,114.5573753,240.4497283
ssp585,2264.912572,3691.039142
ssp585,2.561356247,5.280902777
ssp585,-0.000503752,1.189874508
ssp585,-0.352035914,2.638640296
ssp585,6287.37385,6521.660983
ssp585,-65.1729478,414.5156262
ssp585,-0.120164886,1.040955464
ssp585,1292.635981,2370.262631
ssp585,-71.70710926,483.9923397
ssp585,22.22973256,24.63176271
ssp585,1.630199924,3.662387614
ssp585,-101.8196892,422.9861938
ssp585,37.99245764,119.6005557
ssp585,281.6585485,576.4650765
ssp585,48.1131956,113.3304443
ssp585,255.6967196,298.5744122
ssp585,5.805641992,120.003634
ssp585,6.367831494,118.4387775
ssp585,-0.051780417,1.687844713
ssp585,-0.757488193,2.796405037
ssp585,701.8612036,1605.062738
ssp585,126.6719742,490.1537642
ssp585,-0.543701064,0.523365636
ssp585,97.05609809,460.0171751
ssp585,120.929045,131.7990377
ssp585,12.37649187,23.15514057
ssp585,102.1827061,210.3603171
ssp585,25.3381052,87.1752741
ssp585,33.45699554,225.2622435
ssp585,33.13655772,450.0532477
ssp585,18.5184406,85.1303555
ssp585,2.398196904,4.220175414
ssp585,44.5383506,52.69145167
ssp585,0.203260202,0.898117622
ssp585,110.9945486,409.6854046
ssp585,5733.048703,6854.400363
ssp585,0.619355471,20.38346907
ssp585,22.69467462,105.8585048
ssp585,32.99819259,37.27507151
ssp585,54.23087048,121.3275433
ssp585,1494.221762,3584.222682
ssp585,467.3537701,1242.851394
ssp585,3.38345155,145.7575625
ssp585,320.5995717,361.8950731
ssp585,901.680146,2654.207896
ssp585,1014.467367,1234.414778
ssp585,-0.289906088,2.095270202
ssp585,918.7835327,1358.284517
ssp585,963.2514437,2388.353924
ssp585,-19.43190285,1282.547597
ssp585,26.20519578,96.15938228
ssp585,-0.630433749,4.343569831
